0_position_0, 0_position_1, 0_velocity_0, 0_velocity_1, 0_total_force_0, 0_total_force_1, 0_ang_0, 1_position_0, 1_position_1, 1_velocity_0, 1_velocity_1, 1_total_force_0, 1_total_force_1, 1_ang_0, 2_position_0, 2_position_1, 2_velocity_0, 2_velocity_1, 2_total_force_0, 2_total_force_1, 2_ang_0, 3_position_0, 3_position_1, 3_velocity_0, 3_velocity_1, 3_total_force_0, 3_total_force_1, 3_ang_0
51.0674325896, 51.0674325896, 22.8841967288, 22.8841967288, 854.114421409, 854.114421409, 0.785398163397, 98.9325674104, 51.0674325896, -22.8841967288, 22.8841967288, -854.114421409, 854.114421409, 2.35619449019, 51.0674325896, 98.9325674104, 22.8841967288, -22.8841967288, -588.569621678, 588.569621678, -0.785398163397, 98.9325674104, 98.9325674104, -22.8841967288, -22.8841967288, -854.114421409, -854.114421409, -2.35619449019
51.503256024, 51.503256024, 3.26520933954, 3.26520933954, -588.569621678, -588.569621678, 0.785398163397, 98.496743976, 51.503256024, -3.26520933954, 3.26520933954, 588.569621678, -588.569621678, 2.35619449019, 51.503256024, 98.496743976, 3.26520933954, -3.26520933954, -568.950634289, 568.950634289, -0.785398163397, 98.496743976, 98.496743976, -3.26520933954, -3.26520933954, 588.569621678, 588.569621678, -2.35619449019
51.2960126496, 51.2960126496, -15.6998118034, -15.6998118034, -568.950634289, -568.950634289, -2.35619449019, 98.7039873504, 51.2960126496, 15.6998118034, -15.6998118034, 568.950634289, -568.950634289, -0.785398163397, 51.2960126496, 98.7039873504, -15.6998118034, 15.6998118034, 864.227949227, -864.227949227, 2.35619449019, 98.7039873504, 98.7039873504, 15.6998118034, 15.6998118034, 568.950634289, 568.950634289, 0.785398163397
51.252812228, 51.252812228, 13.1077865042, 13.1077865042, 864.227949227, 864.227949227, 0.785398163397, 98.747187772, 51.252812228, -13.1077865042, 13.1077865042, -864.227949227, 864.227949227, 2.35619449019, 51.252812228, 98.747187772, 13.1077865042, -13.1077865042, -578.793211453, 578.793211453, -0.785398163397, 98.747187772, 98.747187772, -13.1077865042, -13.1077865042, -864.227949227, -864.227949227, -2.35619449019
51.3681866606, 51.3681866606, -6.18532054429, -6.18532054429, -578.793211453, -578.793211453, -2.35619449019, 98.6318133394, 51.3681866606, 6.18532054429, -6.18532054429, 578.793211453, -578.793211453, -0.785398163397, 51.3681866606, 98.6318133394, -6.18532054429, 6.18532054429, 854.713457968, -854.713457968, 2.35619449019, 98.6318133394, 98.6318133394, 6.18532054429, 6.18532054429, 578.793211453, 578.793211453, 0.785398163397
51.6368501192, 51.6368501192, 22.3051280546, 22.3051280546, 854.713457968, 854.713457968, 0.785398163397, 98.3631498808, 51.6368501192, -22.3051280546, 22.3051280546, -854.713457968, 854.713457968, 2.35619449019, 51.6368501192, 98.3631498808, 22.3051280546, -22.3051280546, -587.990553004, 587.990553004, -0.785398163397, 98.3631498808, 98.3631498808, -22.3051280546, -22.3051280546, -854.713457968, -854.713457968, -2.35619449019
52.0536929693, 52.0536929693, 2.70544295452, 2.70544295452, -587.990553004, -587.990553004, 0.785398163397, 97.9463070307, 52.0536929693, -2.70544295452, 2.70544295452, 587.990553004, -587.990553004, 2.35619449019, 52.0536929693, 97.9463070307, 2.70544295452, -2.70544295452, -568.390867904, 568.390867904, -0.785398163397, 97.9463070307, 97.9463070307, -2.70544295452, -2.70544295452, 587.990553004, 587.990553004, -2.35619449019
51.8281016967, 51.8281016967, -16.2409193089, -16.2409193089, -568.390867904, -568.390867904, -2.35619449019, 98.1718983033, 51.8281016967, 16.2409193089, -16.2409193089, 568.390867904, -568.390867904, -0.785398163397, 51.8281016967, 98.1718983033, -16.2409193089, 16.2409193089, 864.769056733, -864.769056733, 2.35619449019, 98.1718983033, 98.1718983033, 16.2409193089, 16.2409193089, 568.390867904, 568.390867904, 0.785398163397
51.7671649735, 51.7671649735, 12.5847159155, 12.5847159155, 864.769056733, 864.769056733, 0.785398163397, 98.2328350265, 51.7671649735, -12.5847159155, 12.5847159155, -864.769056733, 864.769056733, 2.35619449019, 51.7671649735, 98.2328350265, 12.5847159155, -12.5847159155, -578.270140865, 578.270140865, -0.785398163397, 98.2328350265, 98.2328350265, -12.5847159155, -12.5847159155, -864.769056733, -864.769056733, -2.35619449019
51.8653943147, 51.8653943147, -6.69095544667, -6.69095544667, -578.270140865, -578.270140865, -2.35619449019, 98.1346056853, 51.8653943147, 6.69095544667, -6.69095544667, 578.270140865, -578.270140865, -0.785398163397, 51.8653943147, 98.1346056853, -6.69095544667, 6.69095544667, 855.219092871, -855.219092871, 2.35619449019, 98.1346056853, 98.1346056853, 6.69095544667, 6.69095544667, 578.270140865, 578.270140865, 0.785398163397
52.1174841847, 52.1174841847, 21.816347649, 21.816347649, 855.219092871, 855.219092871, 0.785398163397, 97.8825158153, 52.1174841847, -21.816347649, 21.816347649, -855.219092871, 855.219092871, 2.35619449019, 52.1174841847, 97.8825158153, 21.816347649, -21.816347649, -587.501772598, 587.501772598, -0.785398163397, 97.8825158153, 97.8825158153, -21.816347649, -21.816347649, -855.219092871, -855.219092871, -2.35619449019
